Season,Primary Category,Secondary Category,ActivityName,Description,ActivityNumber,Ages,Location,Address,City,State,Zip,Activity Facility,Start Date,End Date,Start Time,End Time,Sessions,Days of the Week,Fee,Status,Address/Location
Spring 2019,Aquatics,Water Fitness,Water Aerobics,"This fast-paced, shallow-water aerobics class uses water to cushion feet, knees and back, with an emphasis on cardiovascular conditioning.",63005,12 and up,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC  Main Pool at Olney Swim Center,3/21/2019,6/6/2019,10:00:00 AM,10:50:00 AM,11,Th,72,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 3,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",62830,At least 4 but less than 7,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 1 at Germantown Indoor Swim Center,3/10/2019,4/28/2019,11:45:00 AM,12:15:00 PM,6,S,65,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 2,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who are already water adjusted.  Students must be able to submerge for 3 seconds and float on their front and back without support.  Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63238,At least 4 but less than 7,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 3 at Kennedy Shriver Aquatic Center,4/6/2019,5/18/2019,12:20:00 PM,12:50:00 PM,6,Sa,65,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Fitness,Strength Training,Bone Builders - Plus,"Strengthen all major muscle groups, gain better balance and improve posture in a co-ed class designed to improve bone density while preventing or slowing further bone loss.  Participants will complete a variety of exercises standing or sitting, using provided weights and exercise bands, while receiving personalized attention tailored to the body's needs. Sign up for two classes per week to achieve optimal results. Due to instructor's asthma, do not wear perfume or cologne to class.",63139,18 and up,Jane E. Lawton Community Rec Center,4301 Willow Lane,Chevy Chase,MD,20815,Lawton Social Hall A at Jane E. Lawton Community Rec Center,4/3/2019,6/5/2019,10:00:00 AM,11:00:00 AM,9,W,81,Open,"4301 Willow Lane
Chevy Chase, MD 20815
(38.982714, -77.086855)"
Spring 2019,Fitness,Playtime & Movement for Tots,Kid Fit 101,"Crawl through tunnels, roll on balls and build big towers  all while developing fine and gross motor skills; increasing hand-eye  coordination; and engaging in socialization and self-expression.  Parents/caregivers participation required.",63967,At least 11m  but less than 5,Potomac Community Recreation Center,11315 Falls Road,Potomac,MD,20854,Potomac Meeting Room at Potomac Community Recreation Center,4/24/2019,5/22/2019,9:30:00 AM,10:15:00 AM,5,W,95,Open,"11315 Falls Road
Potomac, MD 20854
(39.041226, -77.19248)"
Spring 2019,Seniors Programs,Fitness for Seniors,55+ FREE Bone Builders Plum Gar,"Bone Builders is a FREE volunteer-led exercise program to you by the Montgomery County Department of Health and Human Services, Recreation and the RSVP volunteer program. One-hour classes held twice per week are designed to increase bone density. Participants lift ankle weights and hand weights, and participate in warm-up, cool-down and balance exercises.",64158,55 and up,Plum Gar Community Recreation Center,19561 Scenery Drive,Germantown,MD,20874,Plum Gar Social Hall at Plum Gar Community Recreation Center,4/2/2019,6/20/2019,11:30:00 AM,2:00:00 PM,24,"T,Th",0,Open,"19561 Scenery Drive
Germantown, MD 20874
(39.177047, -77.233861)"
Spring 2019,Fitness,Aerobic Dance,Dance & Fitness,"A complete aerobic workout for men and women who love music and movement. This class includes flexibility and leg routines, weights, abdominal work and cool down stretch. Wear supportive athletic shoes and bring a mat or blanket for floor work. Hand weights are optional. For more information contact dancenfitness05@gmail.com.",62714,18 and up,Rock View Elementary School,3901 Denfeld Avenue,Kensington,MD,20895,Rock View ES - GYM at Rock View Elementary School,4/2/2019,6/11/2019,7:00:00 PM,8:00:00 PM,20,"T,Th",148,Open,"3901 Denfeld Avenue
Kensington, MD 20895
(39.038707, -77.076898)"
Spring 2019,Travel,Senior Trips - SOAR,"Georgetown's Famous People & Sites , DC","We will be guided by our DC docent, Rick, who we enjoyed on  previous tours.  Walk the steps of the  former British colonial port founded 40 years before Washington, DC.  Like George Washington and other Founding  Fathers, see Georgetown?s famed sites.   The future president, John F. Kennedy, and the grandest First Lady met,  married and began raising a family and helped lift a quiet area into the  Camelot era before Jackie returned following JFK?s death.  Walk the brick sidewalks among homes dating  back to the 18th century.  See  Georgetown's famed sites that include President John F. Kennedy's home,  national anthem author Francis Scott Key's Park, ""Exorcist"" steps, Tombs bar  that inspired St. Elmo's fire, Car Barn, and Martin's Tavern, where JFK  proposed to Jackie.      Lunch on own at a restaurant of your choice in the area.",59918,55 and up,Olney Manor Recreational Park,16601 Gerogia Avenue,Olney,MD,20832,Olney Manor Parking Lot at Olney Manor Recreational Park,6/13/2019,6/13/2019,8:15:00 AM,3:30:00 PM,1,Th,45,Open,"16601 Gerogia Avenue
Olney, MD 20832"
Spring 2019,Aquatics,Water Fitness,Hi/Lo Cardio Fusion,A unique class that gives you a cardio workout with a blend of yoga and pilates exercises infused into the workout.,62996,12 and up,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool at Kennedy Shriver Aquatic Center,3/22/2019,6/7/2019,11:30:00 AM,12:20:00 PM,10,F,65,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 1,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 5 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63202,At least 4 but less than 7,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Leisure Pool 3 at Kennedy Shriver Aquatic Center,2/24/2019,3/31/2019,9:00:00 AM,9:30:00 AM,6,S,67,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Developmental Swim,SwiMontgomery,A developmental program for kids 5-13 years old who have an interest in competitive swimming and want to build a foundation of related skills.  Swimmers must be able to swim 25 yards/meters without stopping.,63360,At least 5 but less than 14,Martin Luther King Jr. Swim Center,1201 Jackson Road,Silver Spring,MD,20904,MLK Main Pool Shallow Lane 1 at Martin Luther King Jr. Swim Center,3/11/2019,5/15/2019,7:30:00 PM,8:15:00 PM,18,"M,W",280,Open,"1201 Jackson Road
Silver Spring, MD 20904
(39.055072, -76.982795)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 1,"Designed for children at least 7 years old. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63323,At least 7 but less than 14,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 1 at Kennedy Shriver Aquatic Center,4/6/2019,5/18/2019,10:20:00 AM,10:50:00 AM,6,Sa,60,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Sports,Ultimate Frisbee,High School Ultimate Frisbee League,"High School Ultimate Frisbee League (all players must be a current student in grades 9-12) with 7 regular season games and playoffs. Includes one practice per week pending field availability on weeknights.-7v7 coed league play-Games played on Sunday afternoons on fields throughout Montgomery County.-Number of players per team: 15 minimum and 25 maximumCoaches / team managers must register the team first and then all team members enroll and pay individually using the code created and provided by the coach / team manager. *If you are a player in need of a team, please sign up for activity #56308 as a free agent. All scores, standings, and rules will be posted online at www.teamsideline.com/montgomerycountymd. Questions - Email the league coordinator at Stephanie.McKay@montgomerycountymd.gov.",59748,14 and up,TBD,TBD,TBD,TBD,TBD,Location unspecified,4/7/2019,6/9/2019,12:00:00 PM,6:00:00 PM,8,S,79,Open,"TBD
TBD, TBD TBD"
Spring 2019,Aquatics,Water Fitness,Aqua Lite,"This class is low intensity and low impact, and will improve joint flexibility, balance and coordination.  For those with arthritis, or recovering from injury or surgery, this class will help reduce muscle weakness, pain and stiffness in the upper and lower body.",62954,12 and up,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool at Kennedy Shriver Aquatic Center,3/18/2019,6/3/2019,11:00:00 AM,11:50:00 AM,10,M,65,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Seniors Programs,Fitness for Seniors,55+ FREE Bone Builders Potomac,"Bone Builders is a FREE volunteer-led exercise program to you by the Montgomery County Department of Health and Human Services, Recreation and the RSVP volunteer program. One-hour classes held twice per week are designed to increase bone density. Participants lift ankle weights and hand weights, and participate in warm-up, cool-down and balance exercises.",64159,55 and up,Potomac Community Recreation Center,11315 Falls Road,Potomac,MD,20854,Potomac Multi Purpose Room at Potomac Community Recreation Center,4/2/2019,6/20/2019,9:00:00 AM,10:00:00 AM,24,"T,Th",0,Open,"11315 Falls Road
Potomac, MD 20854
(39.041226, -77.19248)"
Spring 2019,Therapeutic Recreation Programs,Special Events,Saturday Night Social - Wild West,"Kick up your boots for a fun night in the wild west!  Wear your favorite jeans and plaid shirts for some good old-fashioned country dancing.   Ages 15 and Up with disabilities.  Our special event dances now take place 6:30 pm - 9:30 pm on the last Saturday of the month. The schedule may vary for holidays. Enjoy a DJ, dancing, games, pizza and other refreshments. Pre-registration is encouraged.",63718,15 and up,Holiday Park Senior Center,3950 Ferrara Drive,Wheaton,MD,20906,Holiday Sr Multi-Purpose Room at Holiday Park Senior Center,6/29/2019,6/29/2019,6:30:00 PM,9:30:00 PM,3,Sa,10,Open,"3950 Ferrara Drive
Wheaton, MD 20906
(39.049836, -77.076744)"
Spring 2019,Dance,Hip Hop,Hip Hop for Kids,"A high-energy, fun-filled dance program, packed with the latest hip-hop choreography. Students will learn new moves and freestyle skills, unlocking creativity while embracing an active lifestyle. The course will include a final performance showcasing a fun routine for family and friends. For more information contact Robyn at info@rldancecompany.com.",64132,At least 5 but less than 9,White Oak Community Recreation Center,1700 April Lane,Silver Spring,MD,20904,White Oak Social Hall B (Dance) at White Oak Community Recreation Center,4/3/2019,5/29/2019,6:00:00 PM,6:45:00 PM,8,W,69,Open,"1700 April Lane
Silver Spring, MD 20904
(39.046674, -76.977052)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 3,"Designed for children at least 7 years old. This class is for students who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63935,At least 7 but less than 15,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Main Pool Shallow Lane 1 at Olney Swim Center,2/24/2019,4/7/2019,9:50:00 AM,10:20:00 AM,6,S,58,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Arts & Crafts,Pottery,Pottery at Sligo,"Explore hand building, wheel-throwing and glazing techniques by using mid-range stoneware (cone 6) with the instructor?s guidance. A fully equipped studio affords you the opportunity to work toward your own creative goals. All artists have access to a potter?s wheel. Material fee due at first session. All ability levels welcome.",63744,16 and up,Sligo Creek Elementary School,500 Schuyler Road,Silver Spring,MD,20910,Sligo Creek ES - Ceramics Studio at Sligo Creek Elementary School,4/16/2019,5/28/2019,9:30:00 AM,12:30:00 PM,7,T,168,Open,"500 Schuyler Road
Silver Spring, MD 20910
(39.001247, -77.015927)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 1,"Designed for children at least 7 years old. This class is for students who need to learn basic water adjustment skills. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 8 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",62871,At least 7 but less than 14,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 3 at Germantown Indoor Swim Center,4/30/2019,5/16/2019,6:20:00 PM,6:50:00 PM,6,"T,Th",60,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Sports,Soccer,Route 29 Soccer,"Boys and girls learn the fundamentals of soccer as well as more complex aspects of the sport in a course for experienced players and novices alike. Each session includes skill instruction and gameplay that includes an equal measure of healthy competition and learning opportunities. All coaching will be conducted by Jump Start Sports. Shin guards are highly recommended and cleats are preferred, but players may also wear regular athletic shoes. All participants receive a T-shirt.",60144,At least 7 but less than 9,White Oak Community Recreation Center,1700 April Lane,Silver Spring,MD,20904,White Oak Grounds at White Oak Community Recreation Center,4/6/2019,5/11/2019,12:00:00 PM,1:00:00 PM,5,Sa,75,Open,"1700 April Lane
Silver Spring, MD 20904
(39.046674, -76.977052)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 5,"Designed for children at least 7 years old. This class is for students who can swim 1 length of front and back crawl, 15 yards of elementary backstroke in good form, tread water, and dive into and swim in deep water. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63676,At least 7 but less than 15,Martin Luther King Jr. Swim Center,1201 Jackson Road,Silver Spring,MD,20904,MLK Main Pool Shallow Lane 4 at Martin Luther King Jr. Swim Center,3/2/2019,4/13/2019,12:20:00 PM,12:50:00 PM,6,Sa,58,Open,"1201 Jackson Road
Silver Spring, MD 20904
(39.055072, -76.982795)"
Spring 2019,Sports,Football/Flag Football,National Flag Football Youth League,"National Flag Football and Montgomery County have partnered to provide boys and girls a fun and exciting opportunity to engage in a non-contact, recreational activity while learning the fundamentals of football.  The emphasis of this league is participation, teamwork, sportsmanship, and fun! This program will take place once a week on Sunday afternoons. Players will be divided into teams of 7-10 children. Teams are formed by player's school, grade, and buddy/coach requests. A one hour practice followed by a one hour game will be scheduled for each team.  All player registrations will include a NFL Flag jersey representing one of the NFL's 32 teams, matching team shorts, mouthguard, and flag belt.",61857,At least 4 but less than 15,Mid County Community Rec Center Field,2004 Queensguard Road,Silver Spring,MD,20906,Mid County Rec - Field #1 FS at Mid County Community Rec Center Field,4/28/2019,6/23/2019,12:00:00 PM,6:00:00 PM,8,S,200,Open,"2004 Queensguard Road
Silver Spring, MD 20906
(39.087347, -77.042882)"
Spring 2019,Seniors Programs,Fitness for Seniors,55+ FREE Bone Builders Wisconsin Place,"Bone Builders is a FREE volunteer-led exercise program to you by the Montgomery County Department of Health and Human Services, Recreation and the RSVP volunteer program. One-hour classes held twice per week are designed to increase bone density. Participants lift ankle weights and hand weights, and participate in warm-up, cool-down and balance exercises.",64166,55 and up,Wisconsin Place Community Rec Center,5311 Friendship Boulevard,Chevy Chase,MD,20815,Wisconsin Classroom 1 at Wisconsin Place Community Rec Center,4/1/2019,6/20/2019,10:00:00 AM,11:00:00 AM,22,"M,Th",0,Open,"5311 Friendship Boulevard
Chevy Chase, MD 20815
(38.962173, -77.088959)"
Spring 2019,Aquatics,Parent-Assisted Swim Lessons,Pre-School,"Designed for children 3-5 years of age. Basic water adjustment continues, but simple water skills are now emphasized. Infants/children who are not toilet trained MUST wear a swim diaper and separate rubber/vinyl pants. An adult must accompany EACH student in the water. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 10 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62852,At least 3 but less than 6,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Leisure Pool 1 at Germantown Indoor Swim Center,3/10/2019,4/28/2019,11:45:00 AM,12:15:00 PM,6,S,58,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Dance,Hip Hop,Hip Hop I,"Learn the hottest moves from South Beach and New York City. We will break down the ABC?s of basic break dancing, popping, locking, funk and other unique hip-hop combinations. For more information contact Avant Garde Ballroom at 301-881-1436. No dance experience required.",64175,At least 8 but less than 13,Avant Garde Ballroom Dance Center,5628-M Nicholson Lane,N. Bethesda,MD,20895,Avant Garde Studio Room at Avant Garde Ballroom Dance Center,4/6/2019,6/8/2019,2:00:00 PM,2:45:00 PM,8,Sa,96,Open,"5628-M Nicholson Lane
N. Bethesda, MD 20895
(39.044664, -77.112529)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 1,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who need to learn basic water adjustment skills.  Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 5 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63783,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 1 at Olney Swim Center,2/24/2019,4/7/2019,9:10:00 AM,9:40:00 AM,6,S,67,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Diving,Level 3: Human Springs,These 90 minute classes are for kids with past diving experience from summer diving or Level 2. This class is appropriate for kids who can already perform an inward dive and a front 11/2. All participants must pay a $15.00 fee per quarter and sign up for the email newsletter at www.montgomerydiveclub.org.,64040,At least 8 but less than 18,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool 3 Meter Boards at Kennedy Shriver Aquatic Center,3/8/2019,5/17/2019,6:30:00 PM,8:00:00 PM,9,F,275,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Martial Arts,Karate/Jujitsu,Tiny Tigers,"This action-packed class will enhance hand-eye coordination, agility and balance as students learn basic karate techniques. We also focus on important life-skills such as improving eye contact, concentration and first-time listening skills. Our full-time instructors work with kids in a safe, clean environment that features top quality equipment and padded floors for extra safety. An official Kicks Karate uniform and white belt are included in the class fee.",63085,At least 3 but less than 5,Kicks Karate Potomac,9812 Falls Rd. Suite 116,Potomac,MD,20854,Kicks Karate Potomac at Kicks Karate Potomac,4/2/2019,5/7/2019,1:00:00 PM,1:30:00 PM,10,"T,Th",129,Open,"9812 Falls Rd. Suite 116
Potomac, MD 20854
(39.016816, -77.210319)"
Spring 2019,Teens Programs,,MCGT Auditions (Lawton),"MoCo's Got Talent (MCGT) is a county wide talent competition for middle and high school students to showcase their talents in the Arts. Montgomery County youth will have an opportunity to audition for the 6th MoCo's Got Talent Finale show held at the Fillmore in Silver Spring on Sunday, June 9th, 2019.First Round Auditions are being held at Lawton Community Center on Friday, May 3rd, 2019.For more information, please contact Youth Development at 240-777-8080.",65854,At least 11 but less than 21,TBD,TBD,TBD,TBD,TBD,Location unspecified,5/3/2019,5/3/2019,5:00:00 PM,9:00:00 PM,1,F,0,Open,"TBD
TBD, TBD TBD"
Spring 2019,Martial Arts,Karate/Jujitsu,Karate/Jujitsu Adult,"Learn the physical and psychological aspects of Tang Soo Do-style Korean Karate and Jujitsu with instructors from Tompkins Karate Association. Class offers exercise, drills, lecture and competition with promotional exams available. This class is geared toward participants 13 and older. Beginner through advanced levels.",63510,13 and up,Upper County Community Recreation Center,8201 Emory Grove Road,Gaithersburg,MD,20877,UCCC Gymnasium at Upper County Community Recreation Center,4/8/2019,6/10/2019,8:00:00 PM,9:30:00 PM,8,M,68,Open,"8201 Emory Grove Road
Gaithersburg, MD 20877
(39.149651, -77.168899)"
Spring 2019,Seniors Programs,Fitness for Seniors,55+ FREE Bone Builders Lawton,"Bone Builders is a FREE volunteer-led exercise program to you by the Montgomery County Department of Health and Human Services, Recreation and the RSVP volunteer program. One-hour classes held twice per week are designed to increase bone density. Participants lift ankle weights and hand weights, and participate in warm-up, cool-down and balance exercises.",64150,55 and up,Jane E. Lawton Community Rec Center,4301 Willow Lane,Chevy Chase,MD,20815,Lawton Gymnasium at Jane E. Lawton Community Rec Center,4/2/2019,6/20/2019,9:15:00 AM,10:15:00 AM,24,"T,Th",0,Open,"4301 Willow Lane
Chevy Chase, MD 20815
(38.982714, -77.086855)"
Spring 2019,Aquatics,Youth Swim Lessons,Youth Level 4,"Designed for children at least 7 years old. This class is for students who can already swim a coordinated front and back crawl for 15 yards (the width of the pool) and are comfortable in deep water. Please read the course descriptions carefully.  Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs.  THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions.  Class size is limited to 10 students. Screening is available to evaluate the student's abilities  at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63350,At least 7 but less than 14,Kennedy Shriver Aquatic Center,5900 Executive Boulevard,N Bethesda,MD,20852,KSAC Main Pool Shallow Lane 3 at Kennedy Shriver Aquatic Center,4/7/2019,5/19/2019,12:20:00 PM,12:50:00 PM,6,S,58,Open,"5900 Executive Boulevard
N Bethesda, MD 20852
(39.046672, -77.116967)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 1,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who need to learn basic water adjustment skills.  Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 5 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",63795,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 1 at Olney Swim Center,2/28/2019,4/4/2019,6:30:00 PM,7:00:00 PM,6,Th,67,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 4,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who can already swim a coordinated front crawl for 15 yards (across the width of the pool), back crawl for 5 yards and are comfortable in deep water. Please read the course  descriptions carefully. Select the course  level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the  student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate  their needs. THERE ARE NO MAKE-UPS OR  REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class  size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool  if you are unsure of which class to register for. Call the pool of your choice and speak with  the Lesson Supervisor for evaluation dates and times (bring a swim suit and  towel).",62846,At least 4 but less than 7,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 4 at Germantown Indoor Swim Center,3/10/2019,4/28/2019,11:05:00 AM,11:35:00 AM,6,S,65,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Martial Arts,Karate/Jujitsu,Little Ninjas,"Through the concept of edutainment children will develop  the skills of concentration and self-control.   Help gain confidence through learning the basic skills of karate in a  safe, clean, and professional environment.   Our low student-to-teacher ratio and safe training mats will ensure that  your child has a comfortable and exciting experience.  An official Kicks Karate uniform and belt are  included in the fee.",64235,At least 5 but less than 8,Kicks Karate Germantown,13020 Middlebrook Road,Germantown,MD,20874,Kicks Karate Germantown at Kicks Karate Germantown,4/1/2019,5/8/2019,6:10:00 PM,6:40:00 PM,10,"M,W",129,Open,"13020 Middlebrook Road
Germantown, MD 20874
(39.182663, -77.270729)"
Spring 2019,Sports,Baseball/Softball,Rookie League Baseball,"Players will receive instruction in all basics of coach-pitch baseball, and will apply what they have learned in non-competitive games. Players who are not able to hit a pitched ball will be able to use a tee while learning.  Sessions are one-hour and 15 minutes each week within the timeframe listed.  Players receive a Major League Baseball hat, team T-shirt, and baseball medal.",60151,At least 5 but less than 8,Quince Orchard Valley Neighborhood Park,12015 Suffolk Terrace,Gaithersburg,MD,20878,Quince Orchard Valley NP Field #1 BB/SB at Quince Orchard Valley Neighborhood Park,4/6/2019,5/18/2019,12:15:00 PM,2:45:00 PM,6,Sa,95,Open,"12015 Suffolk Terrace
Gaithersburg, MD 20878
(39.133159, -77.24986)"
